rank,id,marketplaceAddress,transactionHash,buyer,buyerDisplay,seller,sellerDisplay,price,priceUSD,imageURI,tokens/0/tokenId,tokens/0/address,tokens/0/attributes/Season,tokens/0/attributes/Name,tokens/0/attributes/Gender,tokens/0/attributes/Image,tokens/0/attributes/Hair,tokens/0/attributes/Beard,tokens/0/attributes/Lips,tokens/0/attributes/Mouth,tokens/0/attributes/Eyes,tokens/0/attributes/Neck,tokens/0/attributes/Face,tokens/0/attributes/Nose,tokens/0/attributes/Cheeks,tokens/0/attributes/Ears,tokens/0/attributes/Teeth,tokens/0/attributes/Emotion,tokens/0/attributes/MasterMint#,tokens/0/name,tokens/0/value,tokens/0/multiTokenId,timeStamp,paymentToken,marketplaceIcon,marketplaceName,tokens/0/attributes/Type,tokens/0/attributes/Accessories,tokens/0/attributes/Hats/Hair,tokens/0/attributes/name,tokens/0/attributes/image,tokens/0/attributes/background,tokens/0/attributes/body,tokens/0/attributes/Feathers,tokens/0/attributes/x_debug[0],tokens/0/attributes/eyes,tokens/0/attributes/Beak,tokens/0/attributes/Headwear,tokens/0/attributes/Background,tokens/0/attributes/clothes,tokens/0/attributes/mouth,tokens/0/attributes/Fur,tokens/0/attributes/Earring,tokens/0/attributes/Hat,tokens/0/attributes/dna,tokens/0/attributes/Eye Color,tokens/0/attributes/Back,tokens/0/attributes/Clothing,tokens/0/attributes/Symbolscheme,tokens/0/attributes/Special,tokens/0/attributes/Ear,tokens/0/attributes/Offhand,tokens/0/attributes/Project,tokens/0/attributes/Feature1,tokens/0/attributes/Feature2,tokens/0/attributes/Feature3,tokens/0/attributes/Feature4,tokens/0/attributes/Feature5,tokens/0/attributes/Feature6,tokens/0/attributes/Feature7,tokens/0/attributes/Feature8,tokens/0/attributes/Feature9,tokens/0/attributes/Feature10,tokens/0/attributes/Trait1,tokens/0/attributes/Trait2,tokens/0/attributes/Trait3,tokens/0/attributes/Trait4,tokens/0/attributes/Trait5,tokens/0/attributes/Trait6,tokens/0/attributes/Trait7,tokens/0/attributes/Trait8,tokens/0/attributes/Trait9,tokens/0/attributes/CurationStatus,tokens/0/attributes/Series,tokens/0/attributes/Class,tokens/0/attributes/Species,tokens/0/attributes/Talent,tokens/0/attributes/Feet,tokens/0/attributes/Left Arm,tokens/0/attributes/Legs,tokens/0/attributes/Right Arm,tokens/0/attributes/Sleeves,tokens/0/attributes/Upper Body,tokens/0/attributes/Headgear,tokens/0/attributes/face,tokens/0/attributes/head,tokens/0/attributes/Description,tokens/0/attributes/Clothes,tokens/0/attributes/Accessory,tokens/0/attributes/AttributesCount
11,,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,0x28a2febeba76a64546c39faa91dd6006139726a89cdbe819a5dc5a9ec61a2274,0x83C8F28c26bF6aaca652Df1DbBE0e1b56F8baBa2,0x83C8F28c26bF6aaca652Df1DbBE0e1b56F8baBa2,0xAdFE3f955bE1e2e70c25Af72BbF9260B6153f9Cd,0xAdFE3f955bE1e2e70c25Af72BbF9260B6153f9Cd,253.119995117188,750809.5625,https://live---metadata-5covpqijaa-uc.a.run.app/images/181,181,,,,,,,,,,,,,,,,,,,,,,2022-04-23T08:52:10,ETH,,,,,,#181,https://live---metadata-5covpqijaa-uc.a.run.app/images/181,Purple,Tabby,Pink,orig:3518,Open,Short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,0x28a2febeba76a64546c39faa91dd6006139726a89cdbe819a5dc5a9ec61a2274,0x83C8F28c26bF6aaca652Df1DbBE0e1b56F8baBa2,0x83C8F28c26bF6aaca652Df1DbBE0e1b56F8baBa2,0x32c486137b8316C723B5d778CE4cE882eca68D64,0x32c486137b8316C723B5d778CE4cE882eca68D64,253.119995117188,750809.5625,https://live---metadata-5covpqijaa-uc.a.run.app/images/9041,9041,,,,,,,,,,,,,,,,,,,,,,2022-04-23T08:52:10,ETH,,,,,,#9041,https://live---metadata-5covpqijaa-uc.a.run.app/images/9041,Pink,Crescent,Pink,orig:4132,Relaxed,Short,Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,0x28a2febeba76a64546c39faa91dd6006139726a89cdbe819a5dc5a9ec61a2274,0x83C8F28c26bF6aaca652Df1DbBE0e1b56F8baBa2,0x83C8F28c26bF6aaca652Df1DbBE0e1b56F8baBa2,0x62B5bD7F04Fe783796810b2526470dfdE73dAA49,0x62B5bD7F04Fe783796810b2526470dfdE73dAA49,253.119995117188,750809.5625,https://live---metadata-5covpqijaa-uc.a.run.app/images/2742,2742,,,,,,,,,,,,,,,,,,,,,,2022-04-23T08:52:10,ETH,,,,,,#2742,https://live---metadata-5covpqijaa-uc.a.run.app/images/2742,Blue,Guardian,Gray,orig:3581,Angry,Short,Crescent Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,624387c55b84217c733e78a5,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0xc7fffd5ee8aff246cb24e6b3dc421a60b43f0f2931040d49e56eaa5071b3014c,0xd75233704795206de38cc58b77a1f660b5c60896,0xd75233704795206de38cc58b77a1f660b5c60896,0x97e9a4f24a962f68dc2c34a493811cc215e01772,0x97e9a4f24a962f68dc2c34a493811cc215e01772,217,732630.1300234221,https://d35vxokfjoq7rk.cloudfront.net/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/4985.png?d=66,4985,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,All,CryptoPunk 4985,Female,https://www.larvalabs.com/public/images/cryptopunks/punk4985.png,Tassle Hat,,,,Big Shades,,,,,,,,4983,,,,2022-03-29T22:26:34Z,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/cryptopunks-logo.png,CryptoPunks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,625319a65b84210dfc2ddd8c,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x72a28038509e9107548664a3c92ccf6dbb824a8a7ccb674ec04203e345e82660,0xf2ac533498585fed52515f5541af30bf10b12113,0xf2ac533498585fed52515f5541af30bf10b12113,0xd4fa6e82c77716fa1ef7f5defc5fd6eeefbd3bff,0xd4fa6e82c77716fa1ef7f5defc5fd6eeefbd3bff,220,726170.5269644122,https://d35vxokfjoq7rk.cloudfront.net/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/3088.png?d=66,3088,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,All,CryptoPunk 3088,Male,https://www.larvalabs.com/public/images/cryptopunks/punk3088.png,Top Hat,Normal Beard Black,,,VR,,,,,Earring,,,3086,,,,2022-04-10T17:53:05Z,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/cryptopunks-logo.png,CryptoPunks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,0x7f268357a8c2552623316e2562d90e642bb538e5,0x9046fcfb563e2555a83a460ef08e640f3bf9c44a4861ef333ee0190e252e8caf,0xD7093D91373a49875dcb0b3Eb8F5d1014104AC59,0xD7093D91373a49875dcb0b3Eb8F5d1014104AC59,0xB76a622c7FaDBe11c415D141Fd7B9EB4b1f414B9,0xB76a622c7FaDBe11c415D141Fd7B9EB4b1f414B9,200,700029.5,https://ipfs.cryptoslam.io/ipfs/QmYf8Uw5uW8RyD1tzVmsCgv2he3eDAKBZvhN2uxNjQnAMG,1562,,,,,,,,,,Closed,,,,,,,,,,,,2022-04-02T14:48:11,WETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,,,,,https://ipfs.cryptoslam.io/ipfs/QmYf8Uw5uW8RyD1tzVmsCgv2he3eDAKBZvhN2uxNjQnAMG,,,,,,,,Army Green,Lumberjack Shirt,Phoneme Oh,Trippy,Gold Stud,Fez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,0x7f268357a8c2552623316e2562d90e642bb538e5,0xd0ea4ccca1b512bdf26292fb948abeff32412a36b23fb13bcdbf982b6870e904,0x5fe9CFa5cFECDC333eb102d219B4e77EAcdE9828,0x5fe9CFa5cFECDC333eb102d219B4e77EAcdE9828,0x0a0be1f6F9cbF28B2b2380486FA9C8e532F8783B,0x0a0be1f6F9cbF28B2b2380486FA9C8e532F8783B,199.690002441406,696820.375,https://clonex-assets.rtfkt.com/images/11290.png,11290,,,,,,BRWN 2 Horns,,,Tan Tan Bo,,,,,,,,,,,,,2022-04-03T08:40:20,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,MURAKAMI DRIP,,,CloneX #1427,https://clonex-assets.rtfkt.com/images/11290.png,,,,,,,,,,,,,,Murakami,RNBW,SPLASH,RTFKT CHROME Tee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,0x13d8faf4a690f5ae52e2d2c52938d1167057b9af,0xf70b0c6fbfe5a261745f0574ba4fb7ed2e2866c7d27d5596de36d098dff6f408,0x13d8faF4A690f5AE52E2D2C52938d1167057B9af,0x13d8faF4A690f5AE52E2D2C52938d1167057B9af,0x14ae8100Ea85a11bbb36578f83AB1b5C1cFDd61c,0x14ae8100Ea85a11bbb36578f83AB1b5C1cFDd61c,215.005004882812,695871.6875,https://ipfs.cryptoslam.io/ipfs/QmXtTzeKxd7pvHoAnmSd8co89b64jtADkgrVR3signhYUX,7204,,,,,,,,,,3D,,,,,,,,,,,,2022-04-08T19:37:28,ETH,,,,,,,https://ipfs.cryptoslam.io/ipfs/QmXtTzeKxd7pvHoAnmSd8co89b64jtADkgrVR3signhYUX,,,,,,,,Aquamarine,Tuxedo Tee,Phoneme Vuh,Cheetah,,Bowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,0x7f268357a8c2552623316e2562d90e642bb538e5,0xbb1f06668eca415c5ae2695aeec60006bb6674bb9090c5d6eb3a7795dad0518b,0xF4e423Ce220e4d9FeDcFebCD755ff9d37dc244B2,0xF4e423Ce220e4d9FeDcFebCD755ff9d37dc244B2,0x9c1E2551192f6029aaC9227F8E4D806Ec7b599Fc,0x9c1E2551192f6029aaC9227F8E4D806Ec7b599Fc,200,680632.875,https://ipfs.cryptoslam.io/ipfs/QmUmQnXwB5RsxoBJBw6KMRDZNgCQF31fjrtnBs65wCqoK2,4874,,,,,,,,,,Sad,,,,,,,,,,,,2022-03-31T01:48:38,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,,,,,https://ipfs.cryptoslam.io/ipfs/QmUmQnXwB5RsxoBJBw6KMRDZNgCQF31fjrtnBs65wCqoK2,,,,,,,,New Punk Blue,Striped Tee,Grin,Pink,,Sushi Chef Headband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,0x7f268357a8c2552623316e2562d90e642bb538e5,0x4a62ac21eb1e4ce77a206c7cab4a950a72ec1fbb3feff0e3874053bf8fce1653,0x020cA66C30beC2c4Fe3861a94E4DB4A498A35872,0x020cA66C30beC2c4Fe3861a94E4DB4A498A35872,0x964DE183b6Bc0ADAA84ab828a2Da3e7BDE0EE7FF,0x964DE183b6Bc0ADAA84ab828a2Da3e7BDE0EE7FF,200,658231.5625,https://ipfs.cryptoslam.io/ipfs/QmSyspcpZmnsAF2hrHGvsgoMttSHpqK4aGCm55vPKYrknd,4740,,,,,,,,,,Bloodshot,,,,,,,,,,,,2022-03-28T02:09:35,WETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,,,,,https://ipfs.cryptoslam.io/ipfs/QmSyspcpZmnsAF2hrHGvsgoMttSHpqK4aGCm55vPKYrknd,,,,,,,,Blue,Prom Dress,Bored,Pink,,Horns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,0x7f268357a8c2552623316e2562d90e642bb538e5,0x48a6128cc1a31c98791e2d24745e6dc8a1bb84c90b2d8d110bf210205a79a5aa,0xeBEAa2cFDa253b0DF33A10eaf58a399d0d00a781,0xeBEAa2cFDa253b0DF33A10eaf58a399d0d00a781,0x8d287696e0388D1778Fd194346e8C843E2A52d4B,0x8d287696e0388D1778Fd194346e8C843E2A52d4B,190,646124.8125,https://clonex-assets.rtfkt.com/images/6830.png,6830,,,,,,PNK Hiropon,,,,,,,,,,,,,,,,2022-03-31T07:30:56,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,MURAKAMI DRIP,,,CloneX #19042,https://clonex-assets.rtfkt.com/images/6830.png,,,,,,,,,,,,,,Murakami,GRN,,BLCK BNDN Shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,0x7f268357a8c2552623316e2562d90e642bb538e5,0x599db8ddd0d5d1e79ec9428a888d56eac6c838fcf4a5980d146b06a1165411f3,0x85E59a136696Fa544714eB32625F2f56F3B1C96D,0x85E59a136696Fa544714eB32625F2f56F3B1C96D,0xfb77A033CBF6980DF6b3acdFC5DF3f0a6D6225cf,0xfb77A033CBF6980DF6b3acdFC5DF3f0a6D6225cf,180,627206.5,https://ipfs.cryptoslam.io/ipfs/QmPEPCUGmwWFrEM347p6kddkdDm61UwAEPieMr3LNGhS7P,1131,,,,,,,,,,Hypnotized,,,,,,,,,,,,2022-04-05T00:08:34,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,,,,,https://ipfs.cryptoslam.io/ipfs/QmPEPCUGmwWFrEM347p6kddkdDm61UwAEPieMr3LNGhS7P,,,,,,,,Blue,Black T,Bored Cigarette,Gray,,Bayc Flipped Brim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,0x7f268357a8c2552623316e2562d90e642bb538e5,0x8d6ca34d704eff4899ba33a0f1b54e8dbcf4c1c8e58eafa513d5e4279f72093a,0xb4aD833d6f3b3C4426FEa59deD207A952087F47C,0xb4aD833d6f3b3C4426FEa59deD207A952087F47C,0xBD0f764Ade4ecC77Ab5C9BA64F495dB2DEB8159E,0xBD0f764Ade4ecC77Ab5C9BA64F495dB2DEB8159E,199,620562.125,https://ipfs.cryptoslam.io/ipfs/QmUxoyrn2qLymFBFZwQiJj3aK7bWuNS3poCYhVFiuqxYmF,7725,,,,,,,,,,Robot,,,,,,,,,,,,2022-03-26T08:15:37,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,,,,,https://ipfs.cryptoslam.io/ipfs/QmUxoyrn2qLymFBFZwQiJj3aK7bWuNS3poCYhVFiuqxYmF,,,,,,,,New Punk Blue,Bone Tee,Jovial,Cream,Cross,Bayc Hat Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
